Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
04-02-2024,17.66180431417388,18.62028419675805,17.56816840988906,18.176060442694226,702727904.73,10671164548.86,2024-02-04T00:00:00.000Z,2024-02-04T21:44:00.000Z,2024-02-04T07:47:00.000Z,2024-02-04T23:59:59.999Z
03-02-2024,17.790956567882056,18.09616346855833,17.535742954502545,17.661923625346322,650741969.61,10369314838.59,2024-02-03T00:00:00.000Z,2024-02-03T09:47:00.000Z,2024-02-03T04:01:00.000Z,2024-02-03T23:59:59.999Z
02-02-2024,17.18326254699589,18.833100728188597,17.18326254699589,17.79116124565223,1568486380.9,10390927217.64,2024-02-02T00:00:00.000Z,2024-02-02T17:08:00.000Z,2024-02-02T00:00:00.000Z,2024-02-02T23:59:59.999Z
01-02-2024,15.399762089919404,17.356884962045186,15.167568880642778,17.184246548325078,1236597576.58,9762369956.36,2024-02-01T00:00:00.000Z,2024-02-01T21:59:00.000Z,2024-02-01T02:08:00.000Z,2024-02-01T23:59:59.999Z
31-01-2024,15.467272222210324,16.026805262258392,15.107113489043325,15.398607423233079,741461691.73,8747948422.16,2024-01-31T00:00:00.000Z,2024-01-31T04:59:00.000Z,2024-01-31T22:14:00.000Z,2024-01-31T23:59:59.999Z
30-01-2024,14.988559368887012,15.773016934615441,14.913155456049514,15.467367618338654,539457494.96,8787011086.97,2024-01-30T00:00:00.000Z,2024-01-30T17:29:00.000Z,2024-01-30T00:55:00.000Z,2024-01-30T23:59:59.999Z
29-01-2024,14.509693170370763,15.06323913877178,14.299774466414728,14.988255913195625,460964052.04,8514827741.43,2024-01-29T00:00:00.000Z,2024-01-29T22:38:00.000Z,2024-01-29T14:53:00.000Z,2024-01-29T23:59:59.999Z
28-01-2024,14.341546360783342,14.687256929040284,14.234010136551923,14.517562435706001,330708265.53,8247426790.78,2024-01-28T00:00:00.000Z,2024-01-28T09:29:00.000Z,2024-01-28T19:45:00.000Z,2024-01-28T23:59:59.999Z
27-01-2024,14.195385588787664,14.390691683447432,14.103151082737371,14.340297690754845,227717438.76,8146722694.41,2024-01-27T00:00:00.000Z,2024-01-27T19:44:00.000Z,2024-01-27T08:25:00.000Z,2024-01-27T23:59:59.999Z
26-01-2024,13.757756207792308,14.279744537472395,13.648445399386734,14.195534837908742,349862979.5,8064482921.98,2024-01-26T00:00:00.000Z,2024-01-26T16:56:00.000Z,2024-01-26T00:32:00.000Z,2024-01-26T23:59:59.999Z
25-01-2024,14.235352841456908,14.235352841456908,13.533996336821275,13.757712186467943,335499608.3,7815755886.64,2024-01-25T00:00:00.000Z,2024-01-25T00:00:00.000Z,2024-01-25T17:11:00.000Z,2024-01-25T23:59:59.999Z
